"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"7.513856189774741","9.76421273014031","10.297129254822309"
,"7.443856189774741","9.750275719882163","10.297541137654221"
,"7.390081752263925","9.75038090038965","10.316598057097579"
,"7.500081752263924","9.785736541104301","10.300274197747015"
,"7.470081752263924","9.802790848362092","10.307299203228506"
,"7.493856189774743","9.763133427548949","10.298081665429653"
,"7.4700817522639245","9.751091192527541","10.310155333536077"
,"7.500081752263925","9.810143829839298","10.311933439936954"
,"7.47253287724229","9.77308527523081","10.31468230289376"
,"7.476307314753107","9.808207949498605","10.326460604690086"
,"7.496307314753107","9.776530805767901","10.327006401709209"
,"7.543856189774743","9.768899085706435","10.30505235411953"
,"7.523856189774743","9.780587806998371","10.318877799037422"
,"7.490081752263925","9.778187489387522","10.319308677486234"
,"7.493856189774743","9.826037470312613","10.317104410521594"
,"7.500081752263925","9.786168612484762","10.319280055954273"
,"7.463856189774742","9.76602317294699","10.33709672593512"
,"7.500081752263925","9.806050680213334","10.332791570935365"
,"7.463856189774742","9.77715353254268","10.338285836602513"
,"7.466307314753108","9.810943935709563","10.33472323216053"
,"7.490081752263924","9.806830004463238","10.318886412266927"
,"7.470081752263924","9.821677585995578","10.325926783998144"
,"7.503856189774742","9.764599455774245","10.338630862479256"
,"7.4700817522639245","9.796354311141153","10.32740947255652"
,"7.493856189774742","9.788989325770773","10.324032065703705"
,"7.480081752263925","9.749498972189423","10.333015529342202"
,"7.523856189774742","9.775469806442679","10.340567349707797"
,"7.533856189774742","9.796352678801666","10.353632994517454"
,"7.5038561897747424","9.76307738206079","10.342987416904212"
,"7.533856189774741","9.79967355136246","10.35298773141501"
,"7.5100817522639245","9.792201753145108","10.349847360818574"
,"7.510081752263925","9.80531246106737","10.349474871786795"
,"7.573856189774742","9.764400907180411","10.330702281618851"
,"7.510081752263924","9.78512255354375","10.347506369513148"
,"7.523856189774741","9.763776089929356","10.357254370928835"
,"7.523856189774741","9.844303959525528","10.345680586827836"
,"7.490081752263924","9.82118199555133","10.362153064596537"
,"7.553856189774742","9.816348148425154","10.379958563554322"
,"7.510081752263924","9.820606634740518","10.362138671650134"
,"7.553856189774742","9.82314697710277","10.357809377793993"
,"7.456307314753107","9.832143753778698","10.344077880401656"
,"7.473856189774743","9.835682324214188","10.36837291181499"
,"7.460081752263924","9.879684590757218","10.361421447171963"
,"7.520081752263923","9.801852448282848","10.343576724743636"
,"7.500081752263924","9.817292809364465","10.352946281161248"
,"7.533856189774742","9.834143153183199","10.349005258820412"
,"7.512532877242289","9.819902085635798","10.358675030236267"
,"7.483856189774742","9.81905793817053","10.37768195778946"
,"7.503856189774743","9.79162564452249","10.368807381367002"
,"7.533856189774742","9.820704669860287","10.361213607699492"
,"7.573856189774742","9.869145378371329","10.367654121215402"
,"7.503856189774742","9.84092824742516","10.391640457502694"
,"7.523856189774743","9.826818426902008","10.357096663932383"
,"7.573856189774743","9.833784224608443","10.374601795693456"
,"7.523856189774742","9.819605043785394","10.37439125270294"
,"7.513856189774742","9.813834428919417","10.38476657982563"
,"7.533856189774742","9.814849754310202","10.36890162155588"
,"7.460081752263924","9.825148854861514","10.358024855005166"
,"7.540081752263924","9.828276561927801","10.372048882835115"
,"7.506307314753107","9.82118988875081","10.374425714922989"
,"7.506307314753106","9.809934871178827","10.374992109298987"
,"7.5038561897747424","9.82958351432373","10.35819935767529"
,"7.5100817522639245","9.865404896460085","10.38047452372146"
,"7.530081752263923","9.852254775463397","10.387130549571049"
,"7.533856189774743","9.799915721927375","10.382581811926459"
,"7.486307314753106","9.820790701086882","10.405290467663002"
,"7.503856189774742","9.801928855767498","10.368455764657764"
,"7.520081752263923","9.814768718304967","10.375642437109105"
,"7.4763073147531065","9.829374555663268","10.372489819375033"
,"7.480081752263924","9.823012793587502","10.380349254697386"
,"7.4600817522639264","9.83624642894362","10.385285265402137"
,"7.500081752263924","9.883042457728239","10.386278454056178"
,"7.530081752263923","9.853139182017857","10.376462844825486"
,"7.460081752263925","9.822168219731337","10.384998949062098"
,"7.553856189774741","9.825429652176156","10.376337487200317"
,"7.530081752263925","9.851331643956291","10.372022846452008"
,"7.563856189774741","9.829779158172448","10.394118610562167"
,"7.543856189774742","9.853574518077263","10.387162776079574"
,"7.500081752263925","9.849545313905983","10.390283289258797"
,"7.520081752263925","9.86230544458977","10.394714107910715"
,"7.426307314753108","9.825657333726621","10.38310439094386"
,"7.5138561897747405","9.816095148169737","10.406270628842426"
,"7.563856189774741","9.817403732905142","10.384229016208998"
,"7.553856189774742","9.823337206106231","10.400975986487355"
,"7.530081752263923","9.864579898275734","10.39330492287733"
,"7.550081752263924","9.83414067482897","10.40328592926435"
,"7.513856189774742","9.84556687032647","10.41127101912419"
,"7.46385618977474","9.845142692145517","10.39101937594681"
,"7.526307314753106","9.833572787593734","10.398933517054036"
,"7.563856189774741","9.870597672161006","10.384167783218471"
,"7.543856189774741","9.86431316358464","10.398312069701397"
,"7.503856189774742","9.849878504151869","10.385914820783775"
,"7.496307314753107","9.841490719815106","10.394996979059094"
,"7.480081752263924","9.841852126744064","10.398964195808054"
,"7.513856189774742","9.861596326654569","10.402349624899376"
,"7.5438561897747425","9.841414312330414","10.399560254237032"
,"7.526307314753107","9.839904242510181","10.414329814397252"
,"7.523856189774741","9.857744921202633","10.410383678956496"
,"7.526307314753108","9.813991872409288","10.401119252706179"
,"7.47253287724229","9.84643049526057","10.406877944871344"
,"7.466307314753107","9.85583523732757","10.401174303056655"
,"7.583856189774742","9.833062676389147","10.409765082732388"
,"7.533856189774741","9.820434250866384","10.414166829433928"
,"7.563856189774742","9.853367618147157","10.415373234406315"
,"7.490081752263923","9.865249931324454","10.420854598765983"
,"7.53385618977474","9.846121023126054","10.408931082206779"
,"7.513856189774742","9.840590100470791","10.422564438656078"
,"7.570081752263924","9.874856158476305","10.412771876987915"
,"7.480081752263925","9.832501836338682","10.394256713194189"
,"7.490081752263924","9.866445114164934","10.405691913222595"
,"7.503856189774742","9.846861720626263","10.400621922026685"
,"7.553856189774741","9.861941520793643","10.408444387156147"
,"7.533856189774741","9.874698714986437","10.412388508793256"
,"7.543856189774742","9.859280309727852","10.417681221787138"
,"7.480081752263924","9.850606313231202","10.404718025332855"
,"7.533856189774742","9.803529067508082","10.428180012015023"
,"7.583856189774741","9.846428016906339","10.411762560103423"
,"7.483856189774741","9.858759400578661","10.412053297006882"
,"7.456307314753107","9.870097086495345","10.421412212585347"
,"7.5438561897747425","9.87046348864572","10.394614104298293"
,"7.563856189774741","9.882250245057419","10.43188234641246"
,"7.523856189774741","9.900605243851189","10.420282365651714"
,"7.563856189774742","9.848144108896037","10.422899780018472"
,"7.543856189774742","9.87851060916095","10.426362467412103"
,"7.540081752263923","9.841237719559667","10.406498817219745"
,"7.523856189774741","9.864864051705263","10.422456715955024"
,"7.553856189774742","9.859515464853978","10.419948200641885"
,"7.553856189774742","9.860264055553667","10.420176207821065"
,"7.47253287724229","9.85846235872826","10.414099669681681"
